Phase 1/4: objective-conflict anchor runs
Running 3 case(s) with 16 worker(s)...
[progress] OPMWADE P21 repeat=4/8 | W2:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.05788633377 | fearate=1 | iter=9 | np=130 | elapsed=1204.8s
[progress] OPMWADE P21 repeat=4/8 | W3:conflict_single_objective | nfes=1645/6400 (25.7%) | best=7.969997192e-05 | fearate=1 | iter=9 | np=129 | elapsed=1210.4s
[progress] OPMWADE P21 repeat=4/8 | W2:conflict_single_objective | nfes=2404/6400 (37.6%) | best=0.05539437799 | fearate=1 | iter=16 | np=106 | elapsed=1770.3s
[progress] OPMWADE P21 repeat=4/8 | W1:conflict_single_objective | nfes=2460/6400 (38.4%) | best=0.0001170326147 | fearate=1 | iter=16 | np=104 | elapsed=1811.1s
[progress] OPMWADE P21 repeat=4/8 | W3:conflict_single_objective | nfes=2467/6400 (38.5%) | best=7.126007305e-05 | fearate=1 | iter=16 | np=104 | elapsed=1815.5s
[progress] OPMWADE P21 repeat=4/8 | W1:conflict_single_objective | nfes=3224/6400 (50.4%) | best=0.0001023307481 | fearate=1 | iter=24 | np=86 | elapsed=2373.2s
[progress] OPMWADE P21 repeat=4/8 | W3:conflict_single_objective | nfes=3228/6400 (50.4%) | best=6.288305955e-05 | fearate=1 | iter=24 | np=86 | elapsed=2375.9s
[progress] OPMWADE P21 repeat=4/8 | W2:conflict_single_objective | nfes=3266/6400 (51.0%) | best=0.05336340971 | fearate=1 | iter=25 | np=85 | elapsed=2404.6s
[progress] OPMWADE P21 repeat=4/8 | W1:conflict_single_objective | nfes=4014/6400 (62.7%) | best=8.658875023e-05 | fearate=1 | iter=36 | np=72 | elapsed=2953.4s
[progress] OPMWADE P21 repeat=4/8 | W3:conflict_single_objective | nfes=4046/6400 (63.2%) | best=5.764443098e-05 | fearate=1 | iter=36 | np=55 | elapsed=2976.6s
[progress] OPMWADE P21 repeat=4/8 | W2:conflict_single_objective | nfes=4062/6400 (63.5%) | best=0.04541699925 | fearate=1 | iter=36 | np=71 | elapsed=2989.4s
[progress] OPMWADE P21 repeat=4/8 | W1:conflict_single_objective | nfes=4800/6400 (75.0%) | best=8.658875023e-05 | fearate=1 | iter=49 | np=55 | elapsed=3532.5s
[progress] OPMWADE P21 repeat=4/8 | W3:conflict_single_objective | nfes=4804/6400 (75.1%) | best=5.087687677e-05 | fearate=1 | iter=48 | np=62 | elapsed=3535.7s
[progress] OPMWADE P21 repeat=4/8 | W2:conflict_single_objective | nfes=4853/6400 (75.8%) | best=0.04264884169 | fearate=1 | iter=48 | np=61 | elapsed=3573.3s
[progress] OPMWADE P21 repeat=4/8 | W1:conflict_single_objective | nfes=5601/6400 (87.5%) | best=7.070660542e-05 | fearate=1 | iter=63 | np=55 | elapsed=4161.6s
[progress] OPMWADE P21 repeat=4/8 | W2:conflict_single_objective | nfes=5603/6400 (87.5%) | best=0.03747770608 | fearate=1 | iter=61 | np=56 | elapsed=4165.2s
[progress] OPMWADE P21 repeat=4/8 | W3:conflict_single_objective | nfes=5603/6400 (87.5%) | best=4.823691912e-05 | fearate=1 | iter=62 | np=56 | elapsed=4162.1s
[progress] OPMWADE P21 repeat=4/8 | W1:conflict_single_objective | nfes=6426/6400 (100.0%) | best=7.070660542e-05 | fearate=1 | iter=78 | np=55 | elapsed=4807.7s
[progress] OPMWADE P21 repeat=4/8 | W2:conflict_single_objective | nfes=6434/6400 (100.0%) | best=0.03268969975 | fearate=1 | iter=76 | np=55 | elapsed=4819.4s
[progress] OPMWADE P21 repeat=4/8 | W3:conflict_single_objective | nfes=6450/6400 (100.0%) | best=4.662763393e-05 | fearate=1 | iter=77 | np=55 | elapsed=4824.8s
[progress] OPMWADE P21 repeat=5/8 | W1:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.000195779209 | fearate=1 | iter=4 | np=157 | elapsed=696.4s
